key,source_language,target_language
app.pageTitles.search,Suche,
app.pageTitles.events,Veranstaltungen,
app.pageTitles.extras,Angebote,
app.pageTitles.landing,Ortsauswahl,
app.pageTitles.disclaimer,Impressum und Kontakt,
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,
app.pageTitles.pois,Points of Interest,
app.pageTitles.notFound,Seite nicht gefunden,
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.","Integreat to e-przewodnik po Niemczech. Znajdziesz tu aktualne informacje, najnowsze wydarzenia i porady. Zawsze aktualne i w Twoim języku."
categories.createPdf,PDF erstellen,
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,
common.chooseALanguage,Wähle eine Sprache.,
common.lastUpdate,Letzte Änderung: ,
dashboard.localInformation,Lokale Informationen,
dashboard.offers,Angebote,
dashboard.events,Veranstaltungen,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,
error.notFound.category,Diese Seite wurde leider nicht gefunden.,
error.notFound.event,Dieses Event wurde leider nicht gefunden.,
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,
error.tryAgain,Erneut versuchen,
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,
error.chooseALanguage,Wähle eine Sprache:,
error.goTo.start,Zur Startseite,
error.goTo.categories,Zu den Kategorien,
error.goTo.events,Zu den Veranstaltungen,
error.goTo.extras,Zu den Angeboten,
error.pageTitle,Fehler,
error.generalError,Ein Fehler ist aufgetreten,
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,
events.location,Standort,
events.date,Datum,
events.events,Veranstaltungen,
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,
extras.offers,Angebote,
feedback.technicalTopics,Technische Funktionen,
feedback.contentOfCity,Inhalte von {{city}},
feedback.contentOfExtra,"Angebot ""{{extra}}""",
feedback.disclaimer,Kontakt und Impressum,
feedback.searchFor,Suche nach,
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""",
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""",
feedback.send,Abschicken,
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,
feedback.feedback,Feedback,
feedback.positiveComment,Was war hilfreich?,
feedback.negativeComment,Was können wir besser machen?,
feedback.feedbackType,Wofür ist das Feedback?,
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,
feedback.useful,Hilfreich,
feedback.notUseful,Nicht hilfreich,
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,
feedback.yourFeedback,Ihr Feedback...,
feedback.informationNotFound,Nicht das Richtige gefunden?,
feedback.wantedInformation,Welche Informationen fehlen hier?,
feedback.feedbackSent,Feedback abgeschickt,
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die Integreat-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",
feedback.close,Schließen,
feedback.negativeRating,Diese Seite ist nicht hilfreich,
feedback.positiveRating,Diese Seite ist hilfreich,
header.settings,Einstellungen,
header.share,Teilen,
header.shareMessage,Gerade gefunden:,
header.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,
header.disclaimer,Impressum,
intro.search,Suche,
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,
intro.languageChange,Sprachwechsel,
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,
intro.events,Veranstaltungen,
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,
intro.offers,Angebote,
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung",
intro.inquiryTitle,Einstellungen,
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der Integreat-App, ...",
intro.sentryTitle,App-Stabilität,
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten Integreat zu verbessern,
intro.pushNewsTitle,Push-Benachrichtigungen,
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen News zu senden,
intro.proposeCitiesTitle,Nahegelegene Orte,
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,
intro.skip,Überspringen,
intro.next,Weiter,
intro.cancel,Abbrechen,
intro.save,Speichern,
intro.customize,Anpassen,
intro.decline,Ablehnen,
intro.accept,Akzeptieren,
intro.privacyPolicy,Datenschutzerklärung,
landing.searchCity,Ort suchen,
landing.nearbyPlaces,Orte in der Nähe,
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,
landing.alert,Hinweis,
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",
layout.imprintAndContact,Impressum und Kontakt,
layout.privacy,Datenschutz,
layout.offers,Angebote,
layout.categories,Kategorien,
layout.events,Veranstaltungen,
layout.noEvents,Keine Veranstaltungen,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,
layout.noTranslation,Keine Übersetzung verfügbar,
layout.search,Suchen,
layout.changeLocation,Standort wechseln,
layout.changeLanguage,Sprache wechseln,
search.searchCategory,Suche nach einer Kategorie,
settings.sentryTitle,App-Stabilität,
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die Integreat-App verbessern,
settings.pushNewsTitle,Push-Benachrichtigungen,
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen News erhalten,
settings.proposeCitiesTitle,Nahegelegene Orte,
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,
settings.about,Über Integreat,
settings.privacyPolicy,Datenschutzerklärung,
settings.version,Version: {{version}},
settings.openSourceLicenses,Open-Source-Lizenzen,
snackbar.grantPermission,Erlauben,
snackbar.deactivateFeature,Feature deaktivieren,
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,
wohnen.noOffersAvailable,Keine Angebote verfügbar.,
wohnen.values.runningServices.heating,Heizung,
wohnen.values.runningServices.water,Wasser/Abwasser,
wohnen.values.runningServices.garbage,Müllabfuhr,
wohnen.values.runningServices.chimney,Kaminkehrer,
wohnen.values.runningServices.other,Sonstiges,
wohnen.values.additionalServices.garage,Garage/Stellplatz,
wohnen.values.additionalServices.other,Sonstiges,
wohnen.values.rooms.kitchen,Küche,
wohnen.values.rooms.bath,Bad,
wohnen.values.rooms.wc,WC,
wohnen.values.rooms.child1,Kinderzimmer 1,
wohnen.values.rooms.child2,Kinderzimmer 2,
wohnen.values.rooms.child3,Kinderzimmer 3,
wohnen.values.rooms.bed,Schlafzimmer,
wohnen.values.rooms.livingroom,Wohnzimmer,
wohnen.values.rooms.hallway,Diele,
wohnen.values.rooms.store,Abstellraum,
wohnen.values.rooms.basement,Kellerraum,
wohnen.values.rooms.balcony,Balkon / Terrasse,
